name,source,gender,wikidata,type
"Adelaide Street",wikidata,F,Q57645,relation
"Ameling Rise",wikidata,F,Q119806806,way
"Ellen Street",wikidata,F,Q61950986,relation
"Queen Victoria Street",wikidata,F,Q9439,relation
"Adcock Way",wikidata,M,Q98350454;Q98350658,way
"Amherst Street",wikidata,M,Q6279189,relation
"Attfield Street",wikidata,M,Q16030955,relation
"Bannister Street",wikidata,M,Q2031640,way
"Barnett Street",wikidata,M,Q56447151,way
"Beard Street",wikidata,M,Q113474399,relation
"Burt Street",wikidata,M,Q4786233,relation
"Collie Street",wikidata,M,Q443356,relation
"Croke Lane",wikidata,M,Q64876076,way
"Croke Street",wikidata,M,Q64876076,relation
"Culver Street",wikidata,M,Q119189284,relation
"Douro Road",wikidata,M,Q131691,relation
"Edward Street",wikidata,M,Q437310,relation
"Fairbairn Street",wikidata,M,Q61911855,relation
"Fothergill Street",wikidata,M,Q119862370,way
"Henderson Street",wikidata,M,Q5339554,way
"Henry Street",wikidata,M,Q108541423,relation
"Leake Street",wikidata,M,Q5541609,relation
"Mouat Street",wikidata,M,Q108541417,relation
"Nairn Street",wikidata,M,Q57986646,relation
"Ord Street",wikidata,M,Q1586678,relation
"Pakenham Street",wikidata,M,Q108541429,relation
"Parry Street",wikidata,M,Q437310,relation
"Peter Hughes Drive",wikidata,M,Q108326291,relation
"Price Street",wikidata,M,Q24845751,relation
"Russell Street",wikidata,M,Q157259,way
"Shuffrey Street",wikidata,M,Q120176574,relation
"Stirling Highway",wikidata,M,Q1360030,relation
"Stirling Street",wikidata,M,Q1360030,relation
"William Street",wikidata,M,Q130822,relation+way
"Wray Avenue",wikidata,M,Q108030089,relation
