name,source,gender,wikidata,type
"Alma Street",wikidata,,Q913604,relation
"Beach Street",wikidata,,Q40080,relation
"Cantonment Street",wikidata,,Q2543279,relation
"Carnac Street",wikidata,,Q3289994,way
"Cliff Street",wikidata,,Q107679,relation
"Elder Place",wikidata,,Q5353983,relation
"Fleet Street",wikidata,,Q63978866,relation
"Knutsford Street",wikidata,,Q1470791,relation
"Point Street",wikidata,,Q24529780,relation
"Quarry Street",wikidata,,Q188040,relation
"Slip Street",wikidata,,Q361945,relation
"Wardan Lane",wikidata,,Q9430;Q1251403,relation
"Yalgoo Avenue",wikidata,,Q3571393,relation
"098T CircleRoute (clockwise)",,,,relation
"999 CircleRoute (anti-clockwise)",,,,relation
"Ada Street",,,,way
"Adams Street",,,,way
"Agnes Street",,,,way
"Ainslie Road",,,,way
"Alfred Road",,,,way
"Allen Street",,,,way
"Annie Street",,,,way
"Arundel Street",,,,way
"Ashburton Terrace",,,,way
"Atwell Arcade",,,,way
"Badham Close",,,,way
"Baird Place",,,,way
"Baker Street",,,,way
"Barfield Place",,,,way
"Barker Street",,,,way
"Bateman Street",,,,way
"Bayleaf Retreat",,,,way
"Beazley Way",,,,way
"Bellamy Street",,,,way
"Bellevue Terrace",,,,way
"Belmont Street",,,,way
"Bennewith Street",,,,way
"Bickley Close",,,,way
"Binns Court",,,,way
"Birksgate Road",,,,way
"Blamey Place",,,,way
"Blinco Street",,,,way
"Boas Place",,,,way
"Bolt Street",,,,way
"Bolton Place",,,,way
"Booth Court",,,,way
"Bostock Street",,,,way
"Bowen Street",,,,way
"Bracks Street",,,,way
"Bradbury Way",,,,way
"Bradley Court",,,,way
"Bradley Court Spur",,,,way
"Brennan Street",,,,way
"Briggs Court",,,,way
"Brockman Place",,,,way
"Brolo Court",,,,way
"Bromley Road",,,,way
"Bruce Street",,,,way
"Burford Place",,,,way
"Burns Street",,,,way
"Bus 158 to Perth",,,,relation
"Bus 160 to Fremantle",,,,relation
"Bus 502 to Bull Creek",,,,relation
"Bus 502 to Fremantle",,,,relation
"Bus 511 to Fremantle",,,,relation
"Bus 511 to Murdoch",,,,relation
"Bus 513 to Bull Creek",,,,relation
"Bus 513 to Fremantle",,,,relation
"Butson Street",,,,way
"Butterworth Place",,,,way
"Cadd Street",,,,way
"Caesar Street",,,,way
"Caldwell Street",,,,way
"Canning Highway",,,,relation
"Canning Highway Exit",,,,way
"Capo D'Orlando Drive",,,,way
"Captains Lane",,,,way
"Carob Court",,,,way
"Carr Street",,,,way
"Carrington Street",,,,way
"Carrington Street Exit",,,,way
"Cattalini Lane",,,,way
"Central Avenue",,,,way
"Chadwick Street",,,,way
"Chalmers Street",,,,way
"Chamberlain Street",,,,way
"Charles Street",,,,way
"Chester Street",,,,way
"Chivers Court",,,,way
"Christina Parade",,,,way
"Chudleigh Street",,,,way
"Clarke Street",,,,way
"Clontarf Road",,,,relation
"Cockburn Road",,,,relation
"College Corner",,,,way
"Collick Street",,,,way
"Collinson Street",,,,way
"Commercial Street",,,,way
"Congdon Street",,,,way
"Conway Court",,,,way
"Coode Street",,,,way
"Cooke Street",,,,way
"Coral Street",,,,way
"Corkhill Street",,,,way
"Cottonwood Place",,,,way
"Coventry Parade",,,,way
"Covich Avenue",,,,way
"Cower Mews",,,,way
"Crabtree Mews",,,,way
"Craig Street",,,,way
"Crandon Street",,,,way
"Cumbor Way",,,,way
"Curedale Street",,,,relation
"Cypress Lane",,,,way
"Dale Street",,,,relation
"Dalgety Street",,,,way
"Daly Street",,,,way
"Darling Street",,,,way
"Darroch Street",,,,way
"Davies Street",,,,way
"Deering Street",,,,way
"Delamere Lane",,,,way
"Delrosso Place",,,,way
"Dermer Road",,,,way
"Direction Way",,,,way
"Dixon Street",,,,way
"Doepel Street",,,,way
"Doig Place",,,,way
"Dorothy Street",,,,relation
"Dorrie Lane",,,,way
"Douglas Street",,,,way
"Doust Street",,,,way
"Duffield Avenue",,,,way
"East Street",,,,relation+way
"Edgar Court",,,,way
"Edmondson Street",,,,way
"Edmund Street",,,,way
"Elizabeth Street",,,,way
"Emma Place",,,,way
"Essex Street",,,,relation
"Ethelwyn Street",,,,way
"Eucla Court",,,,way
"Euphrasie Court",,,,way
"FMWO Fremantle to Woodman Point",,,,relation
"Farrell Street",,,,way
"Fay Street",,,,way
"Feeney Street",,,,way
"Ferres Street",,,,way
"Field Street",,,,way
"Fifth Avenue",,,,way
"Finnerty Street",,,,relation
"Fisher Street",,,,way
"Flindell Street",,,,way
"Forrest Street",,,,way
"Forsyth Street",,,,way
"Foundry Court",,,,way
"Francisco Street",,,,way
"Fremantle Blue Cat",,,,relation
"Fremantle Line: Fremante → Perth",,,,relation
"Fremantle Line: Perth → Fremantle",,,,relation
"Fremantle Railway PSP",,,,relation
"Fremantle Red Cat",,,,relation
"Fremantle Writers Walk",,,,relation
"Fullston Way",,,,way
"Gallop Street",,,,way
"Garling Street",,,,way
"Garling Street Exit",,,,way
"Gibson Street",,,,way
"Girton Lane",,,,way
"Glyde Street",,,,way
"Gold Street",,,,relation
"Goldsbrough Street",,,,way
"Gough Place",,,,way
"Greer Lane",,,,way
"Grey Street",,,,way
"Griffiths Place",,,,way
"Grigg Place",,,,way
"Grosvenor Street",,,,way
"Hale Street",,,,way
